tool,description,href,toolbox,toolset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Cartography toolbox,Generalization
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Cartography toolbox,Graphic Conflicts
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Cartography toolbox,Graphic Conflicts
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Cartography toolbox,Graphic Conflicts
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Cartography toolbox,Graphic Conflicts
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Cartography toolbox,Graphic Conflicts
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Cartography toolbox,Graphic Conflicts
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Cartography toolbox,Map Series
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Cartography toolbox,Map Series
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Cartography toolbox,Map Series
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Cartography toolbox,Map Series
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Cartography toolbox,Map Series
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Cartography toolbox,Map Series
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Cartography toolbox,Masking
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Cartography toolbox,Masking
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Cartography toolbox,Masking
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Cartography toolbox,Masking
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Cartography toolbox,Masking
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Cartography toolbox,Masking
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,Excel
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,Excel
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,Excel
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,Excel
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,Excel
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,Excel
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,From Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,From Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,From Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,From Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,From Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,From Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,From WFS
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,From WFS
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,From WFS
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,From WFS
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,From WFS
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,From WFS
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,GPS
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,GPS
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,GPS
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,GPS
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,GPS
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,GPS
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,JSON
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,JSON
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,JSON
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,JSON
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,JSON
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,JSON
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,KML
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,KML
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,KML
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,KML
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,KML
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,KML
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,LAS
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,LAS
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,LAS
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,LAS
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,LAS
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,LAS
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,To CAD
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,To CAD
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,To CAD
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,To CAD
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,To CAD
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,To CAD
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,To Collada
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,To Collada
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,To Collada
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,To Collada
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,To Collada
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,To Collada
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,To dBASE
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,To dBASE
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,To dBASE
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,To dBASE
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,To dBASE
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,To dBASE
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,To Geodatabase
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,To Geodatabase
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,To Geodatabase
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,To Geodatabase
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,To Geodatabase
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,To Geodatabase
